TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
71311170707893956460448663659726970901172059753247369022187375050102661358655,1778669897358,1778669904870,1778669906624,1778669904908,1778669906624,,,9265
83493177048780239641901088434867893614105648566063581572240988673423456828770,1778669903047,1778669910315,1778669910347,,,,,7299
46115727081469675663906278816445757734376139911815140120342124933924095408068,1778669897359,1778669904870,1778669905344,1778669904908,1778669905344,,,7985
68932312259144791859499941036209135701853973073851263996602568466179499874145,1778669897359,1778669904870,1778669906624,1778669904908,1778669906624,,,9265
86898835073343239219842986095716531662032959804877047421283603642441543609897,1778669897359,1778669905313,1778669906624,1778669905344,1778669906624,,,9265
57271834176285887654496505630682306216112086937527625694245853807891387728753,1778669897358,1778669906313,1778669909920,1778669906346,1778669909920,,,12561
103516898897467030369538410972010507376473181632300775421951440329298895575122,1778669897358,1778669906313,1778669910347,1778669906346,1778669910347,,,12988
91025148330772695302243826794837806850337347576066782762558752673580236704039,1778669903047,1778669910315,1778669911632,1778669910347,1778669911632,,,8584
82325330740266764539097571963826975987208715397687488351956490694048766527263,1778669903048,1778669911587,1778669914928,1778669911632,1778669914928,,,11880
82393116317225385037019033858173047233401442457295709882847205612701868141907,1778669897359,1778669906313,1778669906624,1778669906346,1778669906624,,,9265
73090253924558690699540365397575377265593823082008045777345897840599509405805,1778669903047,1778669910315,1778669910347,,,,,7299
32630684287220363747009196238710832599316270566928798795477051552513597837175,1778669903047,1778669910315,1778669914928,1778669910347,1778669914928,,,11880
5737538673644823248400560428497874226492023060391787689509146904821307777919,1778669903047,1778669911316,1778669914928,1778669911355,1778669914928,,,11880
16068961101622484384224706494178298179271263464880019009660336960706244802548,1778669903047,1778669911587,1778669911632,,,,,8585
49391153300586035097805782289030400030793575684134688404570226271178476371643,1778669897359,1778669904870,1778669906624,1778669904908,1778669906624,,,9265
2662800011429538143175115571914722722787913412597178768770651574822092524149,1778669903047,1778669910315,1778669910347,,,,,7299
112931211105094009399050273791839166175322860912694726682981175425272004468474,1778669903047,1778669911316,1778669911355,,,,,8308
18354927118335297415123967915980717081490947260372833764717165187159406149851,1778669903048,1778669911587,1778669911632,,,,,8584
